Time(s), Pan(degree), Tilt(degree), Ultrasonic(mm), ToF(mm)
1.22,1.0,0.0,674.51,744.0
1.43,2.0,0.0,665.25,719.0
1.63,3.0,0.0,669.02,703.0
1.84,4.0,0.0,578.98,707.0
2.05,5.0,0.0,574.35,684.0
2.25,6.0,0.0,569.89,688.0
2.46,7.0,0.0,1117.15,688.0
2.67,8.0,0.0,602.82,701.0
2.88,9.0,0.0,610.03,692.0
3.09,10.0,0.0,635.92,691.0
3.29,11.0,0.0,617.74,701.0
3.5,12.0,0.0,634.38,701.0
3.71,13.0,0.0,643.81,708.0
3.92,14.0,0.0,827.32,712.0
4.12,15.0,0.0,585.5,713.0
4.33,16.0,0.0,555.49,727.0
4.54,17.0,0.0,564.23,725.0
4.75,18.0,0.0,576.58,733.0
4.95,19.0,0.0,575.55,713.0
5.16,20.0,0.0,605.39,715.0
5.36,21.0,0.0,589.62,731.0
5.57,22.0,0.0,562.69,723.0
5.78,23.0,0.0,602.14,717.0
5.99,24.0,0.0,621.86,728.0
6.19,25.0,0.0,639.52,736.0
6.4,26.0,0.0,650.84,743.0
6.61,27.0,0.0,655.47,780.0
6.82,28.0,0.0,590.13,802.0
7.02,29.0,0.0,586.02,938.0
7.23,30.0,0.0,403.02,945.0
7.44,31.0,0.0,389.99,1007.0
7.64,32.0,0.0,410.57,1055.0
7.85,33.0,0.0,658.22,853.0
8.06,34.0,0.0,646.9,1050.0
8.26,35.0,0.0,654.27,1084.0
8.47,36.0,0.0,632.32,762.0
8.68,37.0,0.0,387.42,915.0
8.88,38.0,0.0,645.53,687.0
9.09,39.0,0.0,640.9,607.0
9.3,40.0,0.0,727.67,584.0
9.51,41.0,0.0,731.96,650.0
9.71,42.0,0.0,617.57,618.0
9.92,43.0,0.0,392.22,584.0
10.13,44.0,0.0,391.71,523.0
10.33,45.0,0.0,554.46,518.0
10.54,46.0,0.0,479.17,473.0
10.75,47.0,0.0,408.86,518.0
10.95,48.0,0.0,381.59,448.0
11.16,49.0,0.0,379.19,467.0
11.36,50.0,0.0,383.13,436.0
11.57,51.0,0.0,416.75,435.0
11.78,52.0,0.0,441.1,393.0
11.98,53.0,0.0,421.2,332.0
12.19,54.0,0.0,387.93,322.0
12.4,55.0,0.0,389.82,311.0
12.6,56.0,0.0,866.25,268.0
12.81,57.0,0.0,829.89,269.0
13.02,58.0,0.0,833.49,266.0
13.23,59.0,0.0,737.96,261.0
13.43,60.0,0.0,847.38,256.0
13.64,61.0,0.0,840.69,253.0
13.85,62.0,0.0,205.46,267.0
14.06,63.0,0.0,200.83,257.0
14.26,64.0,0.0,196.71,261.0
14.47,65.0,0.0,200.83,281.0
14.67,66.0,0.0,200.83,295.0
14.88,67.0,0.0,193.62,315.0
15.08,68.0,0.0,196.37,334.0
15.28,69.0,0.0,196.2,353.0
15.49,70.0,0.0,196.02,370.0
15.69,71.0,0.0,192.42,374.0
15.9,72.0,0.0,196.37,374.0
16.1,73.0,0.0,196.2,377.0
16.31,74.0,0.0,196.37,376.0
16.51,75.0,0.0,198.25,374.0
16.72,76.0,0.0,204.94,374.0
16.92,77.0,0.0,205.11,373.0
17.13,78.0,0.0,209.23,370.0
17.33,79.0,0.0,209.4,372.0
17.54,80.0,0.0,358.26,372.0
17.74,81.0,0.0,365.98,373.0
17.95,82.0,0.0,365.12,368.0
18.15,83.0,0.0,355.18,371.0
18.36,84.0,0.0,352.26,366.0
18.57,85.0,0.0,352.09,376.0
18.77,86.0,0.0,351.92,364.0
18.98,87.0,0.0,351.92,368.0
19.18,88.0,0.0,351.75,361.0
19.39,89.0,0.0,351.75,369.0
19.59,90.0,0.0,349.35,362.0
19.8,91.0,0.0,355.52,369.0
20.01,92.0,0.0,355.35,360.0
20.21,93.0,0.0,350.72,370.0
20.42,94.0,0.0,351.06,365.0
20.62,95.0,0.0,355.01,372.0
20.83,96.0,0.0,354.83,364.0
21.04,97.0,0.0,352.6,380.0
21.24,98.0,0.0,354.83,368.0
21.45,99.0,0.0,354.66,368.0
21.65,100.0,0.0,363.24,374.0
21.86,101.0,0.0,358.95,371.0
22.06,102.0,0.0,354.66,374.0
22.27,103.0,0.0,354.49,374.0
22.47,104.0,0.0,344.2,380.0
22.68,105.0,0.0,355.01,381.0
22.89,106.0,0.0,354.83,385.0
23.09,107.0,0.0,351.23,388.0
23.3,108.0,0.0,363.92,397.0
23.5,109.0,0.0,372.67,400.0
23.71,110.0,0.0,364.09,404.0
23.92,111.0,0.0,357.92,402.0
24.12,112.0,0.0,372.84,409.0
24.33,113.0,0.0,377.13,413.0
24.53,114.0,0.0,395.99,421.0
24.74,115.0,0.0,381.93,426.0
24.94,116.0,0.0,606.6,437.0
25.15,117.0,0.0,598.54,436.0
25.36,118.0,0.0,601.62,441.0
25.57,119.0,0.0,600.42,451.0
25.77,120.0,0.0,593.73,447.0
25.98,121.0,0.0,550.34,454.0
26.19,122.0,0.0,421.72,467.0
26.39,123.0,0.0,443.5,475.0
26.6,124.0,0.0,658.56,469.0
26.81,125.0,0.0,661.65,475.0
27.02,126.0,0.0,698.52,479.0
27.22,127.0,0.0,611.4,479.0
27.43,128.0,0.0,594.08,485.0
27.64,129.0,0.0,605.05,480.0
27.85,130.0,0.0,606.08,481.0
28.05,131.0,0.0,612.26,488.0
28.26,132.0,0.0,605.74,482.0
28.47,133.0,0.0,604.37,451.0
28.67,134.0,0.0,606.77,455.0
28.88,135.0,0.0,676.57,428.0
29.09,136.0,0.0,668.51,435.0
29.3,137.0,0.0,609.17,407.0
29.5,138.0,0.0,605.57,471.0
29.71,139.0,0.0,251.93,351.0
29.92,140.0,0.0,251.42,345.0
30.12,141.0,0.0,258.28,337.0
30.33,142.0,0.0,592.7,324.0
30.53,143.0,0.0,274.06,308.0
30.74,144.0,0.0,243.7,304.0
30.94,145.0,0.0,244.39,301.0
31.15,146.0,0.0,239.59,287.0
31.35,147.0,0.0,238.38,284.0
31.56,148.0,0.0,238.9,270.0
31.76,149.0,0.0,238.56,274.0
31.97,150.0,0.0,237.01,265.0
32.18,151.0,0.0,242.33,259.0
32.38,152.0,0.0,237.36,251.0
32.59,153.0,0.0,237.36,251.0
32.79,154.0,0.0,240.1,247.0
33.0,155.0,0.0,232.38,245.0
33.2,156.0,0.0,231.87,248.0
33.41,157.0,0.0,231.7,245.0
33.61,158.0,0.0,230.5,239.0
33.82,159.0,0.0,227.07,235.0
34.02,160.0,0.0,231.18,234.0
34.23,161.0,0.0,231.18,232.0
34.43,162.0,0.0,229.98,230.0
34.64,163.0,0.0,230.5,226.0
34.84,164.0,0.0,226.55,233.0
35.05,165.0,0.0,226.55,231.0
35.25,166.0,0.0,229.64,240.0
35.46,167.0,0.0,229.3,240.0
35.66,168.0,0.0,234.96,245.0
35.87,169.0,0.0,230.67,255.0
36.07,170.0,0.0,230.67,269.0
36.28,171.0,0.0,235.81,285.0
36.48,172.0,0.0,234.96,893.0
36.69,173.0,0.0,230.67,3946.0
36.89,174.0,0.0,234.44,4150.0
37.1,175.0,0.0,237.18,4022.0
37.3,176.0,0.0,239.59,4202.0
37.51,177.0,0.0,247.47,4223.0
37.71,178.0,0.0,261.19,4266.0
37.92,179.0,0.0,274.74,4080.0
38.12,180.0,0.0,-10.0,3772.0
38.36,181.0,1.0,-10.0,3939.0
38.59,180.0,1.0,-10.0,3991.0
38.82,179.0,1.0,-10.0,3883.0
39.05,178.0,1.0,265.65,4133.0
39.26,177.0,1.0,260.17,4164.0
39.46,176.0,1.0,250.22,4166.0
39.67,175.0,1.0,239.41,3977.0
39.87,174.0,1.0,238.21,3964.0
40.08,173.0,1.0,235.13,4107.0
40.28,172.0,1.0,234.96,973.0
40.49,171.0,1.0,234.44,478.0
40.69,170.0,1.0,233.75,272.0
40.9,169.0,1.0,230.67,267.0
41.1,168.0,1.0,230.5,258.0
41.31,167.0,1.0,230.84,248.0
41.51,166.0,1.0,229.47,243.0
41.72,165.0,1.0,230.67,236.0
41.92,164.0,1.0,226.38,228.0
42.13,163.0,1.0,226.38,232.0
42.33,162.0,1.0,225.52,228.0
42.54,161.0,1.0,225.52,230.0
42.74,160.0,1.0,227.07,226.0
42.95,159.0,1.0,226.89,232.0
43.15,158.0,1.0,227.07,235.0
43.36,157.0,1.0,226.38,239.0
43.56,156.0,1.0,230.84,241.0
43.77,155.0,1.0,232.21,246.0
43.97,154.0,1.0,236.67,251.0
44.18,153.0,1.0,235.98,250.0
44.38,152.0,1.0,237.01,254.0
44.59,151.0,1.0,237.53,257.0
44.79,150.0,1.0,237.87,262.0
45.0,149.0,1.0,237.18,268.0
45.2,148.0,1.0,238.38,269.0
45.41,147.0,1.0,239.07,271.0
45.61,146.0,1.0,237.87,281.0
45.82,145.0,1.0,238.73,283.0
46.02,144.0,1.0,244.56,292.0
46.23,143.0,1.0,256.56,301.0
46.43,142.0,1.0,595.62,308.0
46.64,141.0,1.0,586.7,314.0
46.85,140.0,1.0,588.76,321.0
47.06,139.0,1.0,592.19,359.0
47.26,138.0,1.0,595.45,375.0
47.47,137.0,1.0,610.71,380.0
47.68,136.0,1.0,620.32,413.0
47.88,135.0,1.0,660.27,419.0
48.09,134.0,1.0,626.66,435.0
48.3,133.0,1.0,606.42,443.0
48.51,132.0,1.0,605.57,456.0
48.71,131.0,1.0,605.91,462.0
48.92,130.0,1.0,607.62,478.0
49.13,129.0,1.0,606.77,494.0
49.34,128.0,1.0,602.48,478.0
49.54,127.0,1.0,609.85,484.0
49.75,126.0,1.0,608.48,473.0
49.96,125.0,1.0,692.17,475.0
50.17,124.0,1.0,694.75,475.0
50.37,123.0,1.0,566.98,465.0
50.58,122.0,1.0,557.2,467.0
50.79,121.0,1.0,516.73,459.0
50.99,120.0,1.0,546.4,455.0
51.2,119.0,1.0,608.31,451.0
51.41,118.0,1.0,605.74,452.0
51.62,117.0,1.0,568.69,441.0
51.82,116.0,1.0,594.93,441.0
52.03,115.0,1.0,390.68,434.0
52.24,114.0,1.0,398.91,422.0
52.44,113.0,1.0,379.7,421.0
52.65,112.0,1.0,364.44,417.0
52.85,111.0,1.0,359.98,408.0
53.06,110.0,1.0,368.21,406.0
53.27,109.0,1.0,368.38,401.0
53.47,108.0,1.0,364.09,400.0
53.68,107.0,1.0,355.18,394.0
53.88,106.0,1.0,349.17,388.0
54.09,105.0,1.0,355.18,387.0
54.29,104.0,1.0,350.89,380.0
54.5,103.0,1.0,346.43,374.0
54.71,102.0,1.0,355.01,373.0
54.91,101.0,1.0,359.12,370.0
55.12,100.0,1.0,354.66,372.0
55.32,99.0,1.0,348.49,367.0
55.53,98.0,1.0,354.83,365.0
55.73,97.0,1.0,350.37,367.0
55.94,96.0,1.0,354.15,367.0
56.15,95.0,1.0,350.89,365.0
56.35,94.0,1.0,350.55,366.0
56.56,93.0,1.0,350.37,363.0
56.76,92.0,1.0,344.72,370.0
56.97,91.0,1.0,350.72,365.0
57.17,90.0,1.0,350.89,369.0
57.38,89.0,1.0,355.69,361.0
57.59,88.0,1.0,351.58,384.0
57.79,87.0,1.0,351.58,361.0
58.0,86.0,1.0,355.86,370.0
58.2,85.0,1.0,345.74,363.0
58.41,84.0,1.0,347.8,373.0
58.61,83.0,1.0,360.84,368.0
58.82,82.0,1.0,356.89,372.0
59.03,81.0,1.0,365.98,374.0
59.23,80.0,1.0,370.61,373.0
59.44,79.0,1.0,213.69,369.0
59.64,78.0,1.0,198.43,376.0
59.85,77.0,1.0,196.88,372.0
60.05,76.0,1.0,196.71,374.0
60.26,75.0,1.0,196.54,371.0
60.46,74.0,1.0,192.08,371.0
60.67,73.0,1.0,192.25,375.0
60.87,72.0,1.0,200.66,375.0
61.08,71.0,1.0,196.2,375.0
61.28,70.0,1.0,196.2,377.0
61.49,69.0,1.0,191.74,361.0
61.69,68.0,1.0,200.48,353.0
61.89,67.0,1.0,196.37,339.0
62.1,66.0,1.0,200.66,305.0
62.3,65.0,1.0,194.48,295.0
62.51,64.0,1.0,205.11,276.0
62.71,63.0,1.0,200.83,258.0
62.92,62.0,1.0,209.57,260.0
63.12,61.0,1.0,825.94,269.0
63.33,60.0,1.0,832.98,254.0
63.54,59.0,1.0,819.43,257.0
63.75,58.0,1.0,832.12,262.0
63.96,57.0,1.0,832.46,269.0
64.17,56.0,1.0,840.52,267.0
64.37,55.0,1.0,441.96,283.0
